title,award_class,award_category,name
The Thief of Bagdad,Production,ART DIRECTION (Color),Vincent Korda
The Thief of Bagdad,Production,CINEMATOGRAPHY (Color),Georges Périnal
The Thief of Bagdad,Production,VISUAL EFFECTS,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney
The Third Man,Production,CINEMATOGRAPHY (Black-and-White),Robert Krasker
The Thomas Crown Affair,Music,MUSIC (Original Song),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman
The Three Faces of Eve,Acting,ACTRESS,Joanne Woodward
The Three Little Pigs,Title,SHORT FILM (Animated),"Walt Disney, Producer"
The Time Machine,Production,VISUAL EFFECTS,"Visual Effects by Gene Warren, Tim Baar"
The Times of Harvey Milk,Title,DOCUMENTARY (Feature),"Robert Epstein and Richard Schmiechen, Producers"
The Tin Drum,Title,INTERNATIONAL FEATURE FILM,Federal Republic of Germany
The Titan: Story of Michelangelo,Title,DOCUMENTARY (Feature),"Robert Snyder, Producer"
The Tortoise and the Hare,Title,SHORT FILM (Animated),"Walt Disney, Producer"
The Towering Inferno,Production,CINEMATOGRAPHY,"Fred Koenekamp, Joseph Biroc"
The Towering Inferno,Production,FILM EDITING,"Harold F. Kress, Carl Kress"
The Towering Inferno,Music,MUSIC (Original Song),Music and Lyrics by Al Kasha and Joel Hirschhorn
The Treasure of the Sierra Madre,Acting,ACTOR IN A SUPPORTING ROLE,Walter Huston
The Treasure of the Sierra Madre,Directing,DIRECTING,John Huston
The Treasure of the Sierra Madre,Writing,WRITING (Screenplay),John Huston
The Trip to Bountiful,Acting,ACTRESS IN A LEADING ROLE,Geraldine Page
The True Glory,Title,DOCUMENTARY (Feature),The Governments of Great Britain and the United States of America
The True Story of the Civil War,Title,DOCUMENTARY (Short Subject),"Louis Clyde Stoumen, Producer"
The Two Mouseketeers,Title,SHORT FILM (Animated),"Fred Quimby, Producer"
The Ugly Duckling,Title,SHORT FILM (Animated),"Walt Disney, Producer"
The Untouchables,Acting,ACTOR IN A SUPPORTING ROLE,Sean Connery
The Usual Suspects,Acting,ACTOR IN A SUPPORTING ROLE,Kevin Spacey
The Usual Suspects,Writing,WRITING (Original Screenplay),Christopher McQuarrie
The V.I.P.s,Acting,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford
The Vanishing Prairie,Title,DOCUMENTARY (Feature),"Walt Disney, Producer"
The Virgin Spring,Title,INTERNATIONAL FEATURE FILM,Sweden
The Walls of Malapaga,Title,INTERNATIONAL FEATURE FILM,NA
The War Game,Title,DOCUMENTARY (Feature),"Peter Watkins, Producer"
The War of the Worlds,Production,VISUAL EFFECTS,Paramount Studio
The Way We Were,Music,MUSIC (Original Score),Marvin Hamlisch
The Way We Were,Music,MUSIC (Original Song),Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
The Westerner,Acting,ACTOR IN A SUPPORTING ROLE,Walter Brennan
The Wetback Hound,Title,SHORT FILM (Live Action),"Larry Lansburgh, Producer"
The Whale,Acting,ACTOR IN A LEADING ROLE,Brendan Fraser
The Whale,Production,MAKEUP AND HAIRSTYLING,"Adrien Morot, Judy Chin and Annemarie Bradley"
The White Helmets,Title,DOCUMENTARY (Short Subject),Orlando von Einsiedel and Joanna Natasegara
The Windshield Wiper,Title,SHORT FILM (Animated),Alberto Mielgo and Leo Sanchez
The Wizard of Oz,Music,MUSIC (Original Score),Herbert Stothart
The Wizard of Oz,Music,MUSIC (Original Song),Music by Harold Arlen; Lyrics by E. Y. Harburg
The Wolfman,Production,MAKEUP AND HAIRSTYLING,Rick Baker and Dave Elsey
The Woman in Red,Music,MUSIC (Original Song),Music and Lyric by Stevie Wonder
The Wonderful Story of Henry Sugar,Title,SHORT FILM (Live Action),Wes Anderson and Steven Rales
The Wonderful World of the Brothers Grimm,Production,COSTUME DESIGN (Color),Mary Wills
The Wrong Trousers,Title,SHORT FILM (Animated),Nick Park
The Year of Living Dangerously,Acting,ACTRESS IN A SUPPORTING ROLE,Linda Hunt
The Yearling,Production,ART DIRECTION (Color),"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis"
The Yearling,Production,CINEMATOGRAPHY (Color),"Charles Rosher, Leonard Smith, Arthur Arling"
The Young Victoria,Production,COSTUME DESIGN,Sandy Powell
The Zone of Interest,Title,INTERNATIONAL FEATURE FILM,United Kingdom
The Zone of Interest,Production,SOUND,Tarn Willers and Johnnie Burn
Thelma & Louise,Writing,WRITING (Original Screenplay),Callie Khouri
There Will Be Blood,Acting,ACTOR IN A LEADING ROLE,Daniel Day-Lewis
There Will Be Blood,Production,CINEMATOGRAPHY,Robert Elswit
"They Shoot Horses, Don't They?",Acting,ACTOR IN A SUPPORTING ROLE,Gig Young
Thirty Seconds over Tokyo,Production,VISUAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer"
This Charming Man (Der Er En Yndig Mand),Title,SHORT FILM (Live Action),"Martin Strange-Hansen, Mie Andreasen"
This Is the Army,Music,MUSIC (Original Song Score or Adaptation Score),Ray Heindorf
This Land Is Mine,Production,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
This Mechanical Age,Title,SHORT SUBJECT (One-reel),"Robert Youngson, Producer"
This Tiny World,Title,DOCUMENTARY (Short Subject),"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
This above All,Production,ART DIRECTION (Black-and-White),"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
Thoroughly Modern Millie,Music,MUSIC (Original Score),Elmer Bernstein
Thoth,Title,DOCUMENTARY (Short Subject),"Sarah Kernochan, Lynn Appelle"
"Three Billboards outside Ebbing, Missouri",Acting,ACTOR IN A SUPPORTING ROLE,Sam Rockwell
"Three Billboards outside Ebbing, Missouri",Acting,ACTRESS IN A LEADING ROLE,Frances McDormand
Three Coins in the Fountain,Production,CINEMATOGRAPHY (Color),Milton Krasner
Three Coins in the Fountain,Music,MUSIC (Original Song),Music by Jule Styne; Lyrics by Sammy Cahn
Three Orphan Kittens,Title,SHORT FILM (Animated),"Walt Disney, Producer"
Through a Glass Darkly,Title,INTERNATIONAL FEATURE FILM,Sweden
Thunderball,Production,VISUAL EFFECTS,John Stears
Thursday's Children,Title,DOCUMENTARY (Short Subject),World Wide Pictures and Morse Films
Tin Pan Alley,Music,MUSIC (Scoring),Alfred Newman
Tin Toy,Title,SHORT FILM (Animated),"John Lasseter, William Reeves"
Titanic,Writing,WRITING (Original Screenplay),"Charles Brackett, Walter Reisch, Richard Breen"
Titanic,Production,ART DIRECTION,Art Direction: Peter Lamont; Set Decoration: Michael Ford
Titanic,Production,CINEMATOGRAPHY,Russell Carpenter
Titanic,Production,COSTUME DESIGN,Deborah L. Scott
Titanic,Directing,DIRECTING,James Cameron
Titanic,Production,FILM EDITING,"Conrad Buff, James Cameron, Richard A. Harris"
Titanic,Music,MUSIC (Original Score),James Horner
Titanic,Music,MUSIC (Original Song),Music by James Horner; Lyric by Will Jennings
Titanic,Title,BEST PICTURE,"James Cameron and Jon Landau, Producers"
Titanic,Production,SOUND,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano"
Titanic,Production,SOUND EDITING,"Tom Bellfort, Christopher Boyes"
Titanic,Production,VISUAL EFFECTS,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer"
To Be Alive!,Title,DOCUMENTARY (Short Subject),"Francis Thompson, Producer"
To Catch a Thief,Production,CINEMATOGRAPHY (Color),Robert Burks
To Each His Own,Acting,ACTRESS,Olivia de Havilland
To Kill a Mockingbird,Acting,ACTOR,Gregory Peck
To Kill a Mockingbird,Production,ART DIRECTION (Black-and-White),"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert"
To Kill a Mockingbird,Writing,WRITING (Adapted Screenplay),Horton Foote
Tom Jones,Directing,DIRECTING,Tony Richardson
Tom Jones,Music,MUSIC (Original Score),John Addison
Tom Jones,Title,BEST PICTURE,"Tony Richardson, Producer"
Tom Jones,Writing,WRITING (Adapted Screenplay),John Osborne
"Toot, Whistle, Plunk and Boom",Title,SHORT FILM (Animated),"Walt Disney, Producer"
Tootsie,Acting,ACTRESS IN A SUPPORTING ROLE,Jessica Lange
Top Gun,Music,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Tom Whitlock
Top Gun: Maverick,Production,SOUND,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor"
Topkapi,Acting,ACTOR IN A SUPPORTING ROLE,Peter Ustinov
Topsy-Turvy,Production,COSTUME DESIGN,Lindy Hemming
Topsy-Turvy,Production,MAKEUP AND HAIRSTYLING,"Christine Blundell, Trefor Proud"
Tora! Tora! Tora!,Production,VISUAL EFFECTS,"A. D. Flowers, L. B. Abbott"
Torture Money,Title,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer
Total Recall,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke"
Toward Independence,Title,DOCUMENTARY (Short Subject),United States Army
Toy Story,Special,SPECIAL ACHIEVEMENT AWARD,NA
Toy Story 3,Title,ANIMATED FEATURE FILM,Lee Unkrich
Toy Story 3,Music,MUSIC (Original Song),Music and Lyric by Randy Newman
Toy Story 4,Title,ANIMATED FEATURE FILM,"Josh Cooley, Mark Nielsen and Jonas Rivera"
Traffic,Acting,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro
Traffic,Directing,DIRECTING,Steven Soderbergh
Traffic,Production,FILM EDITING,Stephen Mirrione
Traffic,Writing,WRITING (Adapted Screenplay),Screenplay by Stephen Gaghan
Training Day,Acting,ACTOR IN A LEADING ROLE,Denzel Washington
Transatlantic,Production,ART DIRECTION,Gordon Wiles
Travels with My Aunt,Production,COSTUME DESIGN,Anthony Powell
Trevor,Title,SHORT FILM (Live Action),"Peggy Rajski, Randy Stone"
True Grit,Acting,ACTOR,John Wayne
Tsotsi,Title,INTERNATIONAL FEATURE FILM,South Africa
Tweetie Pie,Title,SHORT FILM (Animated),"Edward Selzer, Producer"
Twelve O'Clock High,Acting,ACTOR IN A SUPPORTING ROLE,Dean Jagger
Twelve O'Clock High,Production,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
Twin Towers,Title,DOCUMENTARY (Short Subject),"Bill Guttentag, Robert David Port"
Two Arabian Knights,Directing,DIRECTING (Comedy Picture),Lewis Milestone
Two Distant Strangers,Title,SHORT FILM (Live Action),Travon Free and Martin Desmond Roe
Two Soldiers,Title,SHORT FILM (Live Action),Aaron Schneider and Andrew J. Sacks
Two Women,Acting,ACTRESS,Sophia Loren
U-571,Production,SOUND EDITING,Jon Johnson
Undefeated,Title,DOCUMENTARY (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas"
Underworld,Writing,WRITING (Original Story),Ben Hecht
Unforgiven,Acting,ACTOR IN A SUPPORTING ROLE,Gene Hackman
Unforgiven,Directing,DIRECTING,Clint Eastwood
Unforgiven,Production,FILM EDITING,Joel Cox
Unforgiven,Title,BEST PICTURE,"Clint Eastwood, Producer"
Up,Title,SHORT FILM (Live Action),"Mike Hoover, Producer"
Up,Title,ANIMATED FEATURE FILM,Pete Docter
Up,Music,MUSIC (Original Score),Michael Giacchino
Vacation from Marriage,Writing,WRITING (Original Story),Clemence Dane
Van Gogh,Title,SHORT SUBJECT (Two-reel),"Gaston Diehl and Robert Haessens, Producers"
Vice,Production,MAKEUP AND HAIRSTYLING,"Greg Cannom, Kate Biscoe and Patricia Dehaney"
Vicky Cristina Barcelona,Acting,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz
Victor/Victoria,Music,MUSIC (Original Song Score or Adaptation Score),Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
Violet,Title,SHORT FILM (Live Action),"Paul Kemp and Shelley Levinson, Producers"
Visas and Virtue,Title,SHORT FILM (Live Action),"Chris Tashima, Chris Donahue"
Viva Villa!,Directing,ASSISTANT DIRECTOR,John Waters
Viva Zapata!,Acting,ACTOR IN A SUPPORTING ROLE,Anthony Quinn
Volver a Empezar ('To Begin Again'),Title,INTERNATIONAL FEATURE FILM,Spain
WALL-E,Title,ANIMATED FEATURE FILM,Andrew Stanton
WAR IS OVER! Inspired by the Music of John & Yoko,Title,SHORT FILM (Animated),Dave Mullins and Brad Booker
Waikiki Wedding,Music,MUSIC (Original Song),Music and Lyrics by Harry Owens
Walk the Line,Acting,ACTRESS IN A LEADING ROLE,Reese Witherspoon
Wall Street,Acting,ACTOR IN A LEADING ROLE,Michael Douglas
Wallace & Gromit in The Curse of the Were-Rabbit,Title,ANIMATED FEATURE FILM,Nick Park and Steve Box
War and Peace,Title,INTERNATIONAL FEATURE FILM,Union of Soviet Socialist Republics
Wasp,Title,SHORT FILM (Live Action),Andrea Arnold
Watch on the Rhine,Acting,ACTOR,Paul Lukas
Water Birds,Title,SHORT SUBJECT (Two-reel),"Walt Disney, Producer"
Welcome to Chechnya,Special,AWARD OF COMMENDATION,NA
West Bank Story,Title,SHORT FILM (Live Action),Ari Sandel
West Side Story,Acting,ACTOR IN A SUPPORTING ROLE,George Chakiris
West Side Story,Acting,ACTRESS IN A SUPPORTING ROLE,Rita Moreno
West Side Story,Production,ART DIRECTION (Color),Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin
West Side Story,Production,CINEMATOGRAPHY (Color),Daniel L. Fapp
West Side Story,Production,COSTUME DESIGN (Color),Irene Sharaff
West Side Story,Directing,DIRECTING,"Robert Wise, Jerome Robbins"
West Side Story,Production,FILM EDITING,Thomas Stanford
West Side Story,Music,MUSIC (Original Song Score or Adaptation Score),"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal"
West Side Story,Title,BEST PICTURE,"Robert Wise, Producer"
West Side Story,Production,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director"
West Side Story,Acting,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose
What Dreams May Come,Production,VISUAL EFFECTS,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack"
What Ever Happened to Baby Jane?,Production,COSTUME DESIGN (Black-and-White),Norma Koch
When Magoo Flew,Title,SHORT FILM (Animated),"Stephen Bosustow, Producer"
When Tomorrow Comes,Production,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
When We Were Kings,Title,DOCUMENTARY (Feature),"Leon Gast, David Sonenberg"
When Worlds Collide,Production,VISUAL EFFECTS,Paramount
Whiplash,Acting,ACTOR IN A SUPPORTING ROLE,J.K. Simmons
Whiplash,Production,FILM EDITING,Tom Cross
Whiplash,Production,SOUND MIXING,"Craig Mann, Ben Wilkins and Thomas Curley"
White Nights,Music,MUSIC (Original Song),Music and Lyric by Lionel Richie
White Shadows in the South Seas,Production,CINEMATOGRAPHY,Clyde De Vinna
White Wilderness,Title,DOCUMENTARY (Feature),"Ben Sharpsteen, Producer"
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,Title,DOCUMENTARY (Feature),"John Korty, Dan McCann and Warren L. Lockhart, Producers"
Who Framed Roger Rabbit,Production,FILM EDITING,Arthur Schmidt
Who Framed Roger Rabbit,Production,SOUND EDITING,"Charles L. Campbell, Louis L. Edemann"
Who Framed Roger Rabbit,Production,VISUAL EFFECTS,"Ken Ralston, Richard Williams, Edward Jones, George Gibbs"
Who Framed Roger Rabbit,Special,SPECIAL ACHIEVEMENT AWARD,NA
Who's Afraid of Virginia Woolf?,Acting,ACTRESS,Elizabeth Taylor
Who's Afraid of Virginia Woolf?,Acting,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis
Who's Afraid of Virginia Woolf?,Production,ART DIRECTION (Black-and-White),Art Direction: Richard Sylbert; Set Decoration: George James Hopkins
Who's Afraid of Virginia Woolf?,Production,CINEMATOGRAPHY (Black-and-White),Haskell Wexler
Who's Afraid of Virginia Woolf?,Production,COSTUME DESIGN (Black-and-White),Irene Sharaff
Who's Who in Animal Land,Title,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer"
Why Korea?,Title,DOCUMENTARY (Short Subject),"Edmund Reek, Producer"
Why Man Creates,Title,DOCUMENTARY (Short Subject),"Saul Bass, Producer"
Wild Wings,Title,SHORT FILM (Live Action),"Edgar Anstey, Producer"
Wilson,Production,ART DIRECTION (Color),Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little
Wilson,Production,CINEMATOGRAPHY (Color),Leon Shamroy
Wilson,Production,FILM EDITING,Barbara McLean
Wilson,Production,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
Wilson,Writing,WRITING (Original Screenplay),Lamar Trotti
Wings,Production,VISUAL EFFECTS,Roy Pomeroy
Wings,Title,BEST PICTURE,Paramount Famous Lasky
Wings over Mt. Everest,Title,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions
Winnie the Pooh and the Blustery Day,Title,SHORT FILM (Animated),"Walt Disney, Producer"
With Byrd at the South Pole,Production,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer"
With a Song in My Heart,Music,MUSIC (Original Song Score or Adaptation Score),Alfred Newman
With the Marines at Tarawa,Title,DOCUMENTARY (Short Subject),United States Marine Corps
Witness,Production,FILM EDITING,Thom Noble
Witness,Writing,WRITING (Original Screenplay),"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
Witness to War: Dr. Charlie Clements,Title,DOCUMENTARY (Short Subject),"David Goodman, Producer"
Woman of the Year,Writing,WRITING (Original Screenplay),"Ring Lardner, Jr., Michael Kanin"
Women Talking,Writing,WRITING (Adapted Screenplay),Screenplay by Sarah Polley
Women in Love,Acting,ACTRESS,Glenda Jackson
"Women--for America, for the World",Title,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe, Producer"
Wonder Boys,Music,MUSIC (Original Song),Music and Lyric by Bob Dylan
Wonder Man,Production,VISUAL EFFECTS,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns
Woodstock,Title,DOCUMENTARY (Feature),"Bob Maurice, Producer"
Work Experience,Title,SHORT FILM (Live Action),James Hendrie
Working Girl,Music,MUSIC (Original Song),Music and Lyric by Carly Simon
World of Kids,Title,SHORT SUBJECT (One-reel),"Robert Youngson, Producer"
Wrestling Swordfish,Title,SHORT SUBJECT (Novelty),"Mack Sennett, Producer"
Written on the Wind,Acting,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone
Wuthering Heights,Production,CINEMATOGRAPHY (Black-and-White),Gregg Toland
Yankee Doodle Dandy,Acting,ACTOR,James Cagney
Yankee Doodle Dandy,Music,MUSIC (Original Song Score or Adaptation Score),"Ray Heindorf, Heinz Roemheld"
Yankee Doodle Dandy,Production,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
Yankee Doodle Mouse,Title,SHORT FILM (Animated),"Frederick Quimby, Producer"
Yentl,Music,MUSIC (Original Song Score or Adaptation Score),"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
"Yesterday, Today and Tomorrow",Title,INTERNATIONAL FEATURE FILM,Italy
You Can't Take It with You,Directing,DIRECTING,Frank Capra
You Can't Take It with You,Title,BEST PICTURE,Columbia
You Don't Have to Die,Title,DOCUMENTARY (Short Subject),"William Guttentag and Malcolm Clarke, Producers"
You Light Up My Life,Music,MUSIC (Original Song),Music and Lyrics by Joseph Brooks
Young at Heart,Title,DOCUMENTARY (Short Subject),"Sue Marx and Pamela Conn, Producers"
Z,Production,FILM EDITING,Françoise Bonnot
Z,Title,INTERNATIONAL FEATURE FILM,Algeria
Zero Dark Thirty,Production,SOUND EDITING,Paul N.J. Ottosson
Zootopia,Title,ANIMATED FEATURE FILM,"Byron Howard, Rich Moore and Clark Spencer"
Zorba the Greek,Acting,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova
Zorba the Greek,Production,ART DIRECTION (Black-and-White),Vassilis Fotopoulos
Zorba the Greek,Production,CINEMATOGRAPHY (Black-and-White),Walter Lassally
the accountant,Title,SHORT FILM (Live Action),"Ray McKinnon, Lisa Blount"
tom thumb,Production,VISUAL EFFECTS,Visual Effects by Tom Howard
NA,Writing,WRITING (Title Writing),Joseph Farnham
NA,Production,SOUND RECORDING,Paramount Publix Studio Sound Department
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Production,SOUND RECORDING,Paramount Publix Studio Sound Department
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Directing,ASSISTANT DIRECTOR,William Tummel (Fox)
NA,Directing,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer)
NA,Directing,ASSISTANT DIRECTOR,Charles Barton (Paramount)
NA,Directing,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio)
NA,Directing,ASSISTANT DIRECTOR,Fred Fox (United Artists)
NA,Directing,ASSISTANT DIRECTOR,Scott Beal (Universal)
NA,Directing,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.)
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Walt Disney
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Samuel Goldwyn
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Jerry Wald
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,SPECIAL AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck
